mol1,Squalane
mol2,Dodecane
mol3,"Pentadecane, 2,6,10,14-tetramethyl-"
mol4,Octane
mol5,Stigmastane
mol6,"Heptadecane, 9-(2-cyclohexylethyl)-"
mol7,Undecane
mol8,Nonane
mol9,"Cyclopentane, decyl-"
mol10,"Cyclohexane, (2-decyldodecyl)-"
mol11,"Cyclopentane, (2-decyldodecyl)-"
mol12,"Cyclopentane, undecyl-"
mol13,"Cyclopentane, (4-octyldodecyl)-"
mol14,"Cyclotetradecane, 1,7,11-trimethyl-4-(1-methylethyl)-"
mol15,D:A-Friedooleanane
mol16,Hexadecane
mol17,Decane
mol18,Eicosane
mol19,"Octane, 2,7-dimethyl-"
mol20,"Heneicosane, 11-cyclopentyl-"
mol21,"Cyclopentane, heneicosyl-"
mol22,"Eicosane, 2-cyclohexyl-"
mol23,"Cyclohexane, (1-propylheptadecyl)-"
mol24,"Cyclopentane, 1-(2-decyldodecyl)-2,4-dimethyl-"
mol25,"Heneicosane, 11-pentyl-"
mol26,"Cyclohexane, (1-hexyltetradecyl)-"
mol27,"Heneicosane, 11-decyl-"
mol28,"Cyclohexane, (1-decylundecyl)-"
mol29,"Cyclohexane, (1-butylhexadecyl)-"
mol30,"Docosane, 11-butyl-"
mol31,"Dodecane, 2,6,10-trimethyl-"
mol32,"Dodecane, 1-cyclopentyl-4-(3-cyclopentylpropyl)-"
mol33,"Eicosane, 9-cyclohexyl-"
mol34,"Tridecane, 7-cyclohexyl-"
mol35,"Heneicosane, 11-(1-ethylpropyl)-"
mol36,"Hexadecane, 2,6,10,14-tetramethyl-"
mol37,"Dodecane, 2-cyclohexyl-"
mol38,"Tridecane, 6-cyclohexyl-"
mol39,Tridecane
mol40,Pentadecane
mol41,Heptadecane
mol42,Docosane
mol43,Octadecane
mol44,"Pentane, 2,3,3-trimethyl-"
mol45,Dotriacontane
mol46,Heneicosane
mol47,"Pentane, 3-ethyl-2-methyl-"
mol48,"Decane, 2-methyl-"
mol49,"Octane, 4-methyl-"
mol50,"Octane, 2-methyl-"
mol51,"Hexadecane, 6,11-dipentyl-"
mol52,"Nonane, 5-butyl-"
mol53,"Heneicosane, 11-(2,2-dimethylpropyl)-"
mol54,"Cyclohexane, 1,3-didecyl-"
mol55,"Cyclohexane, 1,1'-tetradecylidenebis-"
mol56,"Cyclohexane, 1,1'-(2-tridecyl-1,3-propanediyl)bis-"
